"Save and Continue Edit","Save and Continue Edit"
Back,Back
"Delete Page","Delete Page"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save Page","Save Page"
Calculation,Calculation
"Percent Fee Calculation","Percent Fee Calculation"
"Include discount in subtotal","Include discount in subtotal"
"Select 'Yes' if you want to calculate the extra fee based on the prices with discount amounts (only for percent fee type)","Select 'Yes' if you want to calculate the extra fee based on the prices with discount amounts (only for percent fee type)"
"Include tax in subtotal","Include tax in subtotal"
"Select 'Yes' if you want to calculate the extra fee based on the prices with taxes (only for percent fee type)","Select 'Yes' if you want to calculate the extra fee based on the prices with taxes (only for percent fee type)"
"Include shipping in subtotal","Include shipping in subtotal"
"Select 'Yes' if you want to calculate the extra fee based on the prices with shipping costs (only for percent fee type)","Select 'Yes' if you want to calculate the extra fee based on the prices with shipping costs (only for percent fee type)"
Conditions,Conditions
"Conditions (don't add conditions if need all products)","Conditions (don't add conditions if need all products)"
"Stores & Customer Groups","Stores & Customer Groups"
"Store View","Store View"
"Customer Groups","Customer Groups"
General,General
Name,Name
Enabled,Enabled
Type,Type
"Sort_ Order","Sort_ Order"
"Sort Order","Sort Order"
Description,Description
Options,Options
"Fee Information","Fee Information"
"Additional Fees","Additional Fees"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Extra Fee: %1","Extra Fee: %1"
Fees,Fees
"The fee has been deleted.","The fee has been deleted."
"New Fee","New Fee"
"Extra Fees","Extra Fees"
"Manage Extra Fees","Manage Extra Fees"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"Something went wrong while saving the data.","Something went wrong while saving the data."
No,No
Yes,Yes
Default,Default
Checkbox,Checkbox
Dropdown,Dropdown
"Radio Button","Radio Button"
Fixed,Fixed
Percent,Percent
"Could not save the fee: %1","Could not save the fee: %1"
"Fee with id ""%1"" does not exist.","Fee with id ""%1"" does not exist."
"Could not delete the fee: %1","Could not delete the fee: %1"
"Extra Fee (%1)","Extra Fee (%1)"
"Amasty Fee","Amasty Fee"
". ' %s %s'",". ' %s %s'"
contains,contains
"does not contain","does not contain"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
Edit,Edit
"All Store Views","All Store Views"
"Is Default","Is Default"
Price,Price
"Add Option","Add Option"
"Sort Option","Sort Option"
label,label
Delete,Delete
"Choose Option","Choose Option"
"Apply Fees","Apply Fees"
"No Extra Fees available.","No Extra Fees available."
"Amasty: Extra Fee","Amasty: Extra Fee"
"Manage Fees","Manage Fees"
"Extra Fee","Extra Fee"
Information,Information
Tax,Tax
"Tax Class","Tax Class"
Frontend,Frontend
"Show On Cart Page","Show On Cart Page"
"Enable Fee","Enable Fee"
Autoapply,Autoapply
"Fee will be applied automatically and displayed in Order Summary step.","Fee will be applied automatically and displayed in Order Summary step."
"-- Please Select --","-- Please Select --"
"Display on Cart","Display on Cart"
"Add New Fee","Add New Fee"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Disable,Disable
Enable,Enable
ID,ID
"Customer Group","Customer Group"
